co_id,c_name,c_bg,location,dates,job_title,job_desc
682718,"Burnwood Enterprises, Inc.",DEFAULT PLACEHOLDER: COMPANY STATISTICS,ニューヨーク州,2018年12月-現在,遺言執行者及びPM担当。,-- 不動産会社に向けて遺品整理
890482,"[契約] NSD International, Inc.",DEFAULT PLACEHOLDER: COMPANY STATISTICS,[MUFG]ジャージーシティー,2018年8月-2018年11月（四ヶ月）,BA担当。,-- AML（マネーロンダリング対策）システムの内部審査
628752,"[契約] NSD International, Inc.",DEFAULT PLACEHOLDER: COMPANY STATISTICS,[SMBC]ニューヨーク市,2018年2月-2018年7月（六ヶ月）,PM担当。,-- カナダ支店のグローバル決済システム更改;フェドワイヤー取引の直接加盟への移行
608162,"[契約] NSD International, Inc.",DEFAULT PLACEHOLDER: COMPANY STATISTICS,[Mizuho]ジャージーシティー,2017年3月-2017年10月（八ヶ月）,PM担当。,-- 持株会社のFR-Y9Cおよび2052aレポートシステムの次期リリース開発
196832,"[契約] NSD International, Inc.",DEFAULT PLACEHOLDER: COMPANY STATISTICS,[MUFG]ジャージーシティー,2016年5月-2016年9月（五ヶ月）,PM担当。,-- メインフレーム・デコミッション・プロジェクト
268039,"[契約] NSD International, Inc.",DEFAULT PLACEHOLDER: COMPANY STATISTICS,[MUFG]ジャージーシティー,2014年6月-2015年10月（一年四ヶ月）,PM担当。,-- 記帳システム更改プロジェクト
702351,[FL] firewallconsultants.com,DEFAULT PLACEHOLDER: COMPANY STATISTICS,シアトル市,2013年1月-2013年3月（三ヶ月）,SE担当。,-- 情報システムセキュリティーのポータルサイト開発
368162,[契約] PSP(Pacific Software Publishing),DEFAULT PLACEHOLDER: COMPANY STATISTICS,シアトル市,2012年7月-2012年11月（四ヶ月）,SE担当。,-- 過渡期のシステム運用
332483,[FL] ITTO(International Tropical Timber Organization),DEFAULT PLACEHOLDER: COMPANY STATISTICS,,2010年1月-2011年1月（一年）,SE担当。,-- 写真ライフラリーのシステム更新及びデータ移行プロジェクト
881641,[契約] Volvo IT Japan,DEFAULT PLACEHOLDER: COMPANY STATISTICS,上尾・大宮埼玉,2008年12月-2009年8月（九ヶ月）,SE担当。,-- テレマティックス・システムの移行及び更新プロジェクト
380462,[契約] 国際テクノロジーセンター,DEFAULT PLACEHOLDER: COMPANY STATISTICS,東京,2007年6月-2008年8月（一年二ヶ月）,新人のPGスタッフの育成指導,-- 法人顧客のワークフローシステム保守・改修・機能追加
662811,[FL] Bit Machines,DEFAULT PLACEHOLDER: COMPANY STATISTICS,,2007年1月-2007年5月（五ヶ月）,脆弱性立証例開発,-- Javaサーブレットフレームワーク 「NetPath」とFLEXとのテクノロジー組み合わせの可能性を検討しつつ
28576,"[契約] Nikon Systems, Inc.",DEFAULT PLACEHOLDER: COMPANY STATISTICS,横浜(日本) 勤務期間,2006年4月-2006年12月（九ヶ月）,要件アナリスト担当。,-- S7cワイヤレスカメラと同カメラの周辺「COOLPIX CONNECT」電子メール経由写真共有サービス開発
602702,[契約] Recruit Media Communications,DEFAULT PLACEHOLDER: COMPANY STATISTICS,東京(日本) 勤務期間,2006年2月-2006年3月（一ヶ月半）,ウェブ上のコンテンツ管理システム開発,-- 進学情報のウェブサイトにおける
216947,[FL] MG Technologies and Investment Ltd.,DEFAULT PLACEHOLDER: COMPANY STATISTICS,横浜(日本) 勤務期間,2005年10月-2005年12月（二ヶ月）,SE/ウェブマスター担当。,-- 英語学校のウェブサイト・学習管理システム（Learning Management System/LMS)
101706,[契約] Forth Space Inc.・Sony PCL,DEFAULT PLACEHOLDER: COMPANY STATISTICS,東京(日本) 勤務期間,2005年5月-2005年10月（五ヶ月）,SE担当。,-- SCORM*対応の学習管理システム開発
535855,"[FL] Foundation World, Inc.",DEFAULT PLACEHOLDER: COMPANY STATISTICS,ニューヨーク市,勤務期間: 2004年4月-2005年2月（十ヶ月）,SE/ウェブマスター担当。,-- CGアティストのPRウェブサイトの保守と更新およびコンテンツ・マネジメント
179698,[FL] NYC Lisp Users Group,DEFAULT PLACEHOLDER: COMPANY STATISTICS,ニューヨーク市,勤務期間: 2003年7月-2003年11月（五ヶ月）,PG・研究・企画担当。,-- ロボカップ・コンペのシミュレーションリーグ部門の入選チーム開発
864778,[FL] Arnold Information Technology,DEFAULT PLACEHOLDER: COMPANY STATISTICS,ニューヨーク市,勤務期間: 2003年5月-2003年6月（一ヶ月）,取材・執筆担当。,-- テクノロジーセクター市場専門の投資家に向けたリサーチレポート
520800,[契約] Lexelnet,DEFAULT PLACEHOLDER: COMPANY STATISTICS,ニューヨーク市,勤務期間: 2001年10月-2003年4月（一年半）,SE担当。,-- 翻訳サービスのオンライン市場の構築対応のウェブアプリケーションフレームワーク開発
215483,[契約] Goldman Sachs,DEFAULT PLACEHOLDER: COMPANY STATISTICS,ニューヨーク市,勤務期間: 2000年8月-2001年8月（一年）,SE担当。,-- グローバル・リスク・マネジメントのシステム統合化プロジェクト
